Quantity,Name,Finish,Condition,Date Added,Language,Purchase Price,Tags,Edition Name,Edition Code,Multiverse Id,Scryfall ID,Collector Number
1,Ambitious Farmhand // Seasoned Cathar,Normal,NM,,EN,,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
1,Ambitious Farmhand // Seasoned Cathar,Normal,NM,,CT,,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
2,Ambitious Farmhand // Seasoned Cathar,Foil,NM,,DE,0.20,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
1,Ambitious Farmhand // Seasoned Cathar,Normal,LP,,EN,,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
1,Ambitious Farmhand // Seasoned Cathar,Normal,MP,,EN,,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
1,Ambitious Farmhand // Seasoned Cathar,Normal,HP,,EN,,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
1,Ambitious Farmhand // Seasoned Cathar,Normal,D,,EN,,,Innistrad: Midnight Hunt,MID,534752,54d4e7c3-294d-4900-8b70-faafda17cc33,2
1,Clue,Normal,NM,,EN,0.15,,Modern Horizons 2 Tokens,TMH2,0,cfcf6efe-9f94-4a55-9994-701e596691ad,14
1,Food,Normal,NM,,EN,0.11,,Tales of Middle-earth Tokens,TLTR,0,bfcff41e-b6ff-4ddd-bcb6-8943f7d88aef,10
1,Demonic Tutor,Etched,NM,,EN,,,Commander Masters,CMM,626364,89153e75-2333-42e8-bc28-1b3d1e4726dd,509
1,Lightning Bolt,Normal,NM,,EN,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,ES,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,FR,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,DE,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,IT,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,PT,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,JP,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,KR,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,RU,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,CS,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Lightning Bolt,Normal,NM,,CT,,,Magic 2011,M11,205227,e768c957-3a1f-42f5-853a-96942f645df5,149
1,Mardu Outrider,Normal,NM,,EN,,,Mystery Booster 2,MB2,677800,3d78478d-5bdb-4c29-aa3a-9de18a5fcd52,1
1,Viscera Seer,Foil,NM,,EN,,,Secret Lair Drop,SLD,0,dba1cf83-e13d-401e-b76f-b12a51b307f9,VS
1,"Isperia, Supreme Judge",Foil,NM,,EN,,,RNA Guild Kit,GK2,460130,ff875d47-b46e-481e-8fba-cc90870483e0,1
1,Ral's Vanguard,Normal,NM,,EN,,,Mystery Booster Playtest Cards 2019,CMB1,476131,c2cb33ac-30d3-4f89-957f-9caea3cb4f16,1
1,Demonic Tutor,Normal,NM,,EN,,,The List,PLST,0,77be13ed-5ef5-4452-a16f-ccd3599d8555,DDC-49
1,Orcish Bowmasters,Normal,NM,,EN,,,The Lord of the Rings: Tales of Middle-earth,LTR,619720,de2de055-5246-408b-80fe-cd01688c145e,433
1,Brazen Borrower // Petty Theft,Normal,NM,,EN,,,Throne of Eldraine,ELD,473001,c2089ec9-0665-448f-bfe9-d181de127814,39
1,Fire // Ice,Normal,NM,,EN,,,Apocalypse,APC,27165,f98f4538-5b5b-475d-b98f-49d01dae6f04,128
